"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 15 19:54:49 IST 2020","Tue Dec 15 19:54:51 IST 2020","1754","","","","","","call on whatsapp : disambiguate contact",""
"passed","Tue Dec 15 19:54:42 IST 2020","Tue Dec 15 19:54:44 IST 2020","2059","","","","","","set session id",""
"passed","Tue Dec 15 19:54:32 IST 2020","Tue Dec 15 19:54:35 IST 2020","2443","","","","","","set session id",""
"passed","Tue Dec 15 19:53:46 IST 2020","Tue Dec 15 19:53:48 IST 2020","2215","","","","","","set session id",""
"passed","Tue Dec 15 19:54:26 IST 2020","Tue Dec 15 19:54:28 IST 2020","2008","","","","","","send message: app not installed",""
"passed","Tue Dec 15 19:53:36 IST 2020","Tue Dec 15 19:53:38 IST 2020","2269","","","","","","Music: Play music",""
"passed","Tue Dec 15 19:54:03 IST 2020","Tue Dec 15 19:54:06 IST 2020","2250","","","","","","read message dialog: message and recepient",""
"failed","Tue Dec 15 19:54:44 IST 2020","Tue Dec 15 19:54:47 IST 2020","2592","","","","","","call on whatsapp",""
"failed","Tue Dec 15 19:54:24 IST 2020","Tue Dec 15 19:54:26 IST 2020","2655","","","","","","send message: app not supported",""
"passed","Tue Dec 15 19:54:51 IST 2020","Tue Dec 15 19:54:54 IST 2020","2643","","","","","","call on whatsapp : No contact matches",""
"passed","Tue Dec 15 19:54:12 IST 2020","Tue Dec 15 19:54:15 IST 2020","2786","","","","","","send message dialog: message and recepient",""
"passed","Tue Dec 15 19:54:00 IST 2020","Tue Dec 15 19:54:03 IST 2020","3417","","","","","","set session id",""
"passed","Tue Dec 15 19:54:35 IST 2020","Tue Dec 15 19:54:38 IST 2020","3421","","","","","","Set alarm: set time and title",""
"failed","Tue Dec 15 19:53:51 IST 2020","Tue Dec 15 19:53:53 IST 2020","2456","","","","","","meetings: next meeting",""
"passed","Tue Dec 15 19:53:38 IST 2020","Tue Dec 15 19:53:40 IST 2020","1718","","","","","","Music: Stop music",""
"passed","Tue Dec 15 19:54:19 IST 2020","Tue Dec 15 19:54:20 IST 2020","1966","","","","","","send message dialog: confirmation",""
"passed","Tue Dec 15 19:54:20 IST 2020","Tue Dec 15 19:54:24 IST 2020","3184","","","","","","send message: one shot",""
"failed","Tue Dec 15 19:53:48 IST 2020","Tue Dec 15 19:53:51 IST 2020","2562","","","","","","meetings: list the day",""
"passed","Tue Dec 15 19:53:40 IST 2020","Tue Dec 15 19:53:42 IST 2020","2305","","","","","","Music: Play some specific music",""
"passed","Tue Dec 15 19:54:10 IST 2020","Tue Dec 15 19:54:12 IST 2020","2176","","","","","","set session id",""
"failed","Tue Dec 15 19:54:47 IST 2020","Tue Dec 15 19:54:49 IST 2020","2560","","","","","","call on whatsapp : multiple result",""
"failed","Tue Dec 15 19:53:53 IST 2020","Tue Dec 15 19:53:56 IST 2020","2587","","","","","","meetings: join meeting",""
"passed","Tue Dec 15 19:53:29 IST 2020","Tue Dec 15 19:53:31 IST 2020","2090","","","","","","set session id",""
"passed","Tue Dec 15 19:54:15 IST 2020","Tue Dec 15 19:54:17 IST 2020","2019","","","","","","send message dialog: disambiguate app",""
